,0,1,2,3,4,5,6
186,2451,0.602792063,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
187,2492,0.612509593,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
188,2505,0.615778008,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
189,2516,0.618541649,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
190,2526,0.621116266,10.0.0.8,10.0.0.11,UDP,983,45397 → 28866 Len=941
191,2540,0.625687791,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
192,2547,0.627429478,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
193,2554,0.629177879,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
194,2596,0.638263815,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
195,2605,0.641013660,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
196,2619,0.645382673,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
197,2628,0.647618803,10.0.0.8,10.0.0.15,UDP,238,45397 → 28866 Len=196
198,2642,0.651170545,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
199,2651,0.653532448,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
200,2674,0.660246974,10.0.0.9,10.0.0.14,UDP,999,55878 → 28866 Len=957
201,2694,0.666557381,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
202,2705,0.669600526,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
203,2717,0.672654098,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
204,2729,0.675189387,10.0.0.10,10.0.0.12,UDP,640,37053 → 28866 Len=598
205,2735,0.677040394,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
206,2744,0.679312489,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
207,2745,0.679352709,10.0.0.9,10.0.0.13,UDP,830,55878 → 28866 Len=788
208,2756,0.681919615,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
209,2764,0.684788301,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
210,2769,0.686250218,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
211,2783,0.689227887,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
212,2787,0.690318751,10.0.0.10,10.0.0.13,UDP,239,37053 → 28866 Len=197
213,2796,0.692063399,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
214,2804,0.694582022,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
215,2807,0.696008065,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
216,2812,0.697240763,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
217,2818,0.698840664,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
218,2821,0.700004609,10.0.0.8,10.0.0.15,UDP,52,45397 → 28866 Len=10
219,2839,0.704541736,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
220,2857,0.709661815,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
